Scraped date,Type,Movie Title,Release Year,Hash,Cast
27-02-2018,Recently Added,The Lodgers,2018,{},[]
27-02-2018,Recently Added,"The B-52s with the Wild Crowd! - Live in Athens, GA",2012,{},[]
27-02-2018,Recently Added,How To Pick Girls Up!,1988,"{""itunes""=>[""1341174837""]}","[""Wong Jing"", ""Maggie Cheung"", ""Elizabeth Lee Mei-Fung"", ""Chingmy Yau"", ""Ellen Chan"", ""Sandra Ng Kwun-Yu"", ""Wong Jing"", ""Stanley Fung"", ""Eric Tsang"", ""Wilson Lam"", ""Charlie Cho"", ""Margie Tsang Wah-Sin"", ""Kathy Chow""]"
27-02-2018,Recently Added,A Walk to Remember,2002,{},[]
27-02-2018,Recently Added,Word of God,2017,"{""amazon""=>[""B078Z183YG""]}","[""Henrik Ruben Genz"", ""SÃ¸ren Malling"", ""Lisa Nilsson"", ""Maria Erwolter"", ""Mads Riisom"", ""Marcus Gert"", ""Marcus Gert"", ""Jesper Asholt"", ""Jacob Kvol"", ""Marcus Sebastian Gert"", ""Clint Ruben"", ""Mads Ole Langelund Larsen"", ""Miri Ann Beuschel""]"
27-02-2018,Recently Added,The Shape of Water,2018,{},[]
27-02-2018,Recently Added,Call Me by Your Name,2017,{},[]
27-02-2018,Recently Added,Ferdinand,2017,{},[]
27-02-2018,Recently Added,Winnie,2017,"{""netflixusa""=>[""80170119""]}","[""Pascale Lamche""]"
27-02-2018,Recently Added,People You May Know,2017,"{""netflixusa""=>[""80214583""], ""amazon""=>[""B077QWKPPH""], ""vudu""=>[""906702""]}","[""Sherwin Shilati"", ""Nick Thune"", ""Halston Sage""]"
27-02-2018,Recently Added,The Heyday of the Insensitive Bastards,2016,"{""netflixusa""=>[""80213299""], ""amazon""=>[""B075X928HT""], ""vudu""=>[""901095""]}","["""", ""James Franco"", ""Natalie Portman"", ""Kristen Wiig"", ""Kate Mara"", ""Amber Tamblyn"", ""Jim Parrack"", ""Abigail Spencer"", ""Keir Gilchrist"", ""Thomas Mann"", ""Rico Rodriguez"", ""Matthew Modine"", ""Jimmy Kimmel""]"
